epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.19132106479854416,0.9271428571428572,0.001567424094336557,0.9988888888888889
2,0.004201610045570167,0.9983333333333333,0.004636543530946726,0.9988888888888889
3,0.000805299864871565,1.0,0.001286464655502892,0.9988888888888889
4,0.0024368610507790986,0.9995238095238095,0.00028089044080216214,1.0
5,0.00033164188439651764,1.0,0.0007903165282312267,1.0
6,0.002815413865143703,0.9992857142857143,0.00020135252810272002,1.0
7,0.0015762476369314809,0.9997619047619047,0.023576617151461664,0.9966666666666667
8,0.003132944601406273,0.9985714285714286,0.00026114610578776496,1.0
9,0.001619741533321565,0.9997619047619047,0.014085508985050997,0.9955555555555555
10,0.0013826661373086884,0.9995238095238095,5.727121945177526e-05,1.0
11,9.977187928046932e-05,1.0,5.900743956866289e-05,1.0
12,0.00015711912285978818,1.0,7.142535701107057e-05,1.0
13,0.0017018694750345965,0.9995238095238095,5.1831161758384735e-05,1.0
14,0.0037008156944494026,0.9990476190476191,0.000622959464290661,1.0
15,0.0026630115462467074,0.9992857142857143,6.16362744792774e-05,1.0
16,0.00015235393209767415,1.0,4.151987484184592e-05,1.0
17,0.002199628746177151,0.9997619047619047,0.001465495958121931,0.9988888888888889
18,7.975512222180964e-05,1.0,0.0003899698080956647,1.0
19,0.0011288716873698859,0.9997619047619047,0.013186524501022711,0.9955555555555555
20,0.0005508828160834652,0.9997619047619047,3.155972529478684e-05,1.0
21,5.9967143291335866e-05,1.0,4.2179989953904716e-05,1.0
22,0.0010259797166079145,0.9997619047619047,3.588973862045758e-05,1.0
23,6.035193563079564e-05,1.0,4.837393828046484e-05,1.0
24,6.808810348957195e-05,1.0,7.830918002582621e-05,1.0
25,6.747970540097661e-05,1.0,6.275512567236577e-05,1.0
26,6.074930797694833e-05,1.0,7.450847094552391e-05,1.0
27,0.0001132417152913342,1.0,6.686461179485596e-05,1.0
28,7.550094550645031e-05,1.0,3.078083211911344e-05,1.0
29,5.894503290233622e-05,1.0,4.240473443697456e-05,1.0
30,6.288252981186926e-05,1.0,0.0001002785224170958,1.0
31,0.0012588179784029996,0.9997619047619047,5.7976739173745014e-05,1.0
32,5.2162966581322095e-05,1.0,6.0247424542091e-05,1.0
33,5.476622934083659e-05,1.0,6.0459103161551396e-05,1.0
34,0.0022158845219812724,0.9992857142857143,4.876341599497366e-05,1.0
35,6.552952080104053e-05,1.0,4.980013727617916e-05,1.0
36,6.22744235057105e-05,1.0,3.184629553414135e-05,1.0
37,5.7363588211956085e-05,1.0,3.427256792590548e-05,1.0
38,0.0001866379879326511,1.0,1.95214782816665e-05,1.0
39,6.1870452623914e-05,1.0,3.1230960757966386e-05,1.0
40,5.142845932162097e-05,1.0,2.5395919080971187e-05,1.0
41,5.329512951544585e-05,1.0,3.0078300636072026e-05,1.0
42,5.534103496012738e-05,1.0,3.4836506811502504e-05,1.0
43,5.8105905509364675e-05,1.0,4.282731995395995e-05,1.0
44,4.639111796567511e-05,1.0,3.750419230935473e-05,1.0
45,6.011813377771239e-05,1.0,6.771800909863769e-05,1.0
46,6.111595207998603e-05,1.0,2.6261564565582626e-05,1.0
47,5.1525925975897046e-05,1.0,2.7291533319055754e-05,1.0
48,5.552920948971543e-05,1.0,2.4612932395092654e-05,1.0
